"State","Year","feline_intake_total","canine_intake_total","intake_total","Live Outcome - Adoption Total-Feline","Live Outcome - Adoption Total-Canine","adoption_total","cases","Population","SAH","Start_Date","End_Date","SAH_Duration","adoption_rate","adoption_percap"
"Alaska",2019,2803,0,2803,1689,0,1689,NA,733391,1,2020-03-28,2020-04-21,24,0.602568676418123,0.00230300071857986
"Alaska",2020,2384,0,2384,1755,0,1755,46740,733391,1,2020-03-28,2020-04-21,24,0.736157718120805,0.00239299364186362
"Alaska",2021,2457,0,2457,1886,0,1886,109390,733391,1,2020-03-28,2020-04-21,24,0.767602767602768,0.00257161595929047
"Alabama",2019,13499,22752,36251,7582,9484,17066,NA,5024279,1,2020-04-04,2020-04-30,26,0.470773220049102,0.00339670627367628
"Alabama",2020,11369,19060,30429,6816,7480,14296,361226,5024279,1,2020-04-04,2020-04-30,26,0.469814979131749,0.00284538338734772
"Alabama",2021,12448,19217,31665,7181,7681,14862,535388,5024279,1,2020-04-04,2020-04-30,26,0.469351018474657,0.00295803636700908
"Arkansas",2019,5169,9447,14616,3630,3712,7342,NA,3011524,0,NA,NA,NA,0.502326217843459,0.00243796828449649
"Arkansas",2020,3874,6618,10492,3140,3199,6339,225138,3011524,0,NA,NA,NA,0.604174609226077,0.00210491432244936
"Arkansas",2021,4173,7042,11215,3274,3524,6798,341348,3011524,0,NA,NA,NA,0.60615247436469,0.00225732884745398
"Arizona",2019,30065,61514,91579,20098,35632,55730,NA,7151502,1,2020-03-31,2020-05-15,45,0.608545627272628,0.00779276856805745
"Arizona",2020,23646,45843,69489,16664,28214,44878,523829,7151502,1,2020-03-31,2020-05-15,45,0.645828836218682,0.00627532509953853
"Arizona",2021,27344,48881,76225,17735,29709,47444,857659,7151502,1,2020-03-31,2020-05-15,45,0.622420465726468,0.00663413084412198
"California",2019,170890,167876,338766,89620,81442,171062,NA,39538223,NA,NA,NA,NA,0.504956223469888,0.00432649691919639
"California",2020,110038,106517,216555,62926,52723,115649,2307860,39538223,NA,NA,NA,NA,0.534039851307982,0.00292499235486633
"California",2021,111068,108884,219952,64086,52522,116608,3207753,39538223,NA,NA,NA,NA,0.530152033170874,0.00294924736501183
"Colorado",2019,40534,42971,83505,27927,23096,51023,NA,5773714,1,2020-03-26,2020-05-08,43,0.611017304353033,0.00883711940009498
"Colorado",2020,38269,35789,74058,27167,22761,49928,335579,5773714,1,2020-03-26,2020-05-08,43,0.674174295822193,0.00864746677788335
"Colorado",2021,42826,39739,82565,29103,22847,51950,597678,5773714,1,2020-03-26,2020-05-08,43,0.629201235390299,0.00899767463369332
"Connecticut",2019,3099,2594,5693,2589,1834,4423,NA,3605944,1,2020-03-23,2020-05-20,58,0.776919023362024,0.00122658588153338
"Connecticut",2020,2512,1615,4127,2089,1161,3250,185708,3605944,1,2020-03-23,2020-05-20,58,0.787496971165496,0.000901289648424934
"Connecticut",2021,2600,1663,4263,2050,916,2966,324480,3605944,1,2020-03-23,2020-05-20,58,0.695754163734459,0.000822530799147186
"Delaware",2019,1054,491,1545,875,470,1345,NA,989948,1,2020-03-24,2020-05-15,52,0.870550161812298,0.00135865722239956
